row,col,Well,Flight,Unit,Board,Inhibitor,Supply.I.mA,Time,Parabola,Construct,LED.trigger,Condition,ConversionRate,IntegratedIntensity,RedMeanIntensity,Green_Red_Mean_Intensity,Green_Red_Mean_Intensity_norm_Green_Mean_Intensity,Temp.Board.1,Temp.Board.2,Temp.LED,Pressure.mbar,Gravity.X.mg,Gravity.Y.mg,Gravity.Z.mg,Supply.U.mV
A,10,A10,1,103,1,Ruthenium Red,592.4775,2021-06-17 09:41:29,1,CaMPARI2-F391W,2,Pre-Parabola,0.105358,298.5311,0.7671233,0.5553074,0.01733194,36.49,36.4515,33.956,1033.675,0.8775,-1.47,1033.755,23785.68
A,10,A10,1,103,2,GSK2193874,592.4775,2021-06-17 09:41:29,1,CaMPARI2-F391W,2,Pre-Parabola,0.1687621,428.1205,0.9409851,0.684242,0.02256334,36.49,36.4515,33.956,1033.675,0.8775,-1.47,1033.755,23785.68
A,10,A10,1,104,1,BAPTA,610.69,2021-06-17 09:41:29,1,CaMPARI2-F391W,2,Pre-Parabola,0.08330652,301.7719,0.7636997,0.576909,0.01465382,36.34275,36.4315,33.7375,1065,-11.975,1.76,1036.69,23573.85
A,10,A10,1,104,2,DMSO,610.69,2021-06-17 09:41:29,1,CaMPARI2-F391W,2,Pre-Parabola,0.1030097,264.5527,0.8161787,0.6335387,0.01835037,36.34275,36.4315,33.7375,1065,-11.975,1.76,1036.69,23573.85
A,10,A10,2,101,1,None,597.425,2021-06-17 09:39:18,1,CaMPARI2-F391W,2,Pre-Parabola,0.1570551,308.1325,0.806354,0.6168925,0.0169011,36.518,36.424,34.33075,1024,4.16,17.0575,1065.8825,23756.7
A,10,A10,2,101,2,Gd3+,597.425,2021-06-17 09:39:18,1,CaMPARI2-F391W,2,Pre-Parabola,0.1235139,268.9935,0.7657849,0.5712315,0.01701208,36.518,36.424,34.33075,1024,4.16,17.0575,1065.8825,23756.7
A,10,A10,2,102,1,Thapsigargin,609.5225,2021-06-17 09:39:17,1,CaMPARI2-F391W,2,Pre-Parabola,0.1805259,638.7682,1.122005,1.051163,0.0477189,36.53625,36.517,34.443,1070,13.4325,38.01,1095.725,23733.93
A,10,A10,2,102,2,Flunarizine,609.5225,2021-06-17 09:39:17,1,CaMPARI2-F391W,2,Pre-Parabola,0.1062108,240.4407,0.7348963,0.5510953,0.01969049,36.53625,36.517,34.443,1070,13.4325,38.01,1095.725,23733.93
A,10,A10,2,103,1,Ruthenium Red,593.9275,2021-06-17 09:39:18,1,CaMPARI2-F391W,2,Pre-Parabola,0.103154,594.1292,0.7241358,0.5254141,0.0187079,36.477,36.52625,34.36025,1032,6.5425,3.135,1070.0475,23721.395
A,10,A10,2,103,2,GSK2193874,593.9275,2021-06-17 09:39:18,1,CaMPARI2-F391W,2,Pre-Parabola,0.2032479,544.7932,1.021091,0.8196947,0.02401596,36.477,36.52625,34.36025,1032,6.5425,3.135,1070.0475,23721.395
A,10,A10,2,104,1,BAPTA,610.485,2021-06-17 09:39:17,1,CaMPARI2-F391W,2,Pre-Parabola,0.04975179,251.9896,0.8239987,0.6142435,0.02324041,36.43775,36.50075,34.1735,1060,-5.3275,10.0275,1067.245,23590.755
A,10,A10,2,104,2,DMSO,610.485,2021-06-17 09:39:17,1,CaMPARI2-F391W,2,Pre-Parabola,0.1360205,372.569,0.8187398,0.6305164,0.01603965,36.43775,36.50075,34.1735,1060,-5.3275,10.0275,1067.245,23590.755
A,10,A10,3,101,1,None,NA,NA,1,CaMPARI2-F391W,2,Pre-Parabola,0.08750249,234.7727,0.7166193,0.5211936,0.02050323,NA,NA,NA,NA,NA,NA,NA,NA
A,10,A10,3,101,2,Gd3+,NA,NA,1,CaMPARI2-F391W,2,Pre-Parabola,0.1157985,273.9182,0.7542429,0.5761403,0.0180297,NA,NA,NA,NA,NA,NA,NA,NA
A,10,A10,3,102,1,Thapsigargin,606.96,2021-06-17 09:44:21,1,CaMPARI2-F391W,2,Pre-Parabola,0.2019672,561.845,1.042596,0.8456766,0.03750669,36.517,36.50775,34.4615,1058.005,6.4525,39.04,1090.095,23745.89
A,10,A10,3,102,2,Flunarizine,606.96,2021-06-17 09:44:21,1,CaMPARI2-F391W,2,Pre-Parabola,0.09866109,229.1349,0.7235168,0.5455605,0.01978171,36.517,36.50775,34.4615,1058.005,6.4525,39.04,1090.095,23745.89
A,10,A10,3,103,1,Ruthenium Red,589.7825,2021-06-17 09:44:19,1,CaMPARI2-F391W,2,Pre-Parabola,0.1260176,338.8884,0.7824317,0.6350011,0.01805247,36.595,36.55375,34.62075,1028,8.6325,-1.3075,1063.2175,23802.8725
A,10,A10,3,103,2,GSK2193874,589.7825,2021-06-17 09:44:19,1,CaMPARI2-F391W,2,Pre-Parabola,0.1623759,352.9766,0.8897278,0.6715498,0.02086014,36.595,36.55375,34.62075,1028,8.6325,-1.3075,1063.2175,23802.8725
A,10,A10,3,104,1,BAPTA,612.825,2021-06-17 09:44:20,1,CaMPARI2-F391W,2,Pre-Parabola,0.07440198,347.8872,1.02483,0.7688487,0.02755569,36.5045,36.5,34.238,1072.55,1.43,10.9175,1060.1675,23548.205
A,10,A10,3,104,2,DMSO,612.825,2021-06-17 09:44:20,1,CaMPARI2-F391W,2,Pre-Parabola,0.1095114,303.1121,0.8110156,0.6566429,0.02041745,36.5045,36.5,34.238,1072.55,1.43,10.9175,1060.1675,23548.205
A,11,A11,1,101,1,None,NA,NA,1,CaMPARI2-F391W,1,Pull-up,0.1108939,396.361,0.9089152,0.7859194,0.02328067,NA,NA,NA,NA,NA,NA,NA,NA
A,11,A11,1,101,2,Gd3+,NA,NA,1,CaMPARI2-F391W,1,Pull-up,0.1088004,368.0032,0.8237133,0.6469478,0.01889921,NA,NA,NA,NA,NA,NA,NA,NA
A,11,A11,1,102,1,Thapsigargin,616.1175,2021-06-17 09:42:08,1,CaMPARI2-F391W,1,Pull-up,0.2127711,696.9764,1.182091,1.003068,0.03837407,36.842,36.84175,34.4165,1072.4,1.5675,167.71,1871.345,23661.7675
A,11,A11,1,102,2,Flunarizine,616.1175,2021-06-17 09:42:08,1,CaMPARI2-F391W,1,Pull-up,0.1023465,393.1778,0.8989332,0.7172418,0.02521368,36.842,36.84175,34.4165,1072.4,1.5675,167.71,1871.345,23661.7675
A,11,A11,1,103,1,Ruthenium Red,593.78,2021-06-17 09:42:08,1,CaMPARI2-F391W,1,Pull-up,0.09915044,275.2219,0.7031211,0.4944369,0.01563959,36.80925,36.79375,33.672,1033,-10.15,154.56,1852.12,23784.185
A,11,A11,1,103,2,GSK2193874,593.78,2021-06-17 09:42:08,1,CaMPARI2-F391W,1,Pull-up,0.1668108,441.7534,0.885193,0.6788365,0.01905499,36.80925,36.79375,33.672,1033,-10.15,154.56,1852.12,23784.185
A,11,A11,1,104,1,BAPTA,616.785,2021-06-17 09:42:07,1,CaMPARI2-F391W,1,Pull-up,0.08076637,338.2184,0.7560215,0.6585985,0.01862573,36.78275,36.79475,33.4955,1064.875,-21.94,136.9375,1832.165,23574.885
A,11,A11,1,104,2,DMSO,616.785,2021-06-17 09:42:07,1,CaMPARI2-F391W,1,Pull-up,0.1236279,198.0839,0.6788351,0.5417721,0.01602159,36.78275,36.79475,33.4955,1064.875,-21.94,136.9375,1832.165,23574.885
